symbol,direction,t_entry,entry,sl0,tp,qty,sl_init,t_exit,exit,reason,pnl,r,mfe_pct,mae_pct,mfe_r,mae_r,duration_m5
ETHUSDT,1,1591977900,236.83102799999998,238.23391828164063,251.0,36.422821868084185,234.0854966306245,1591980900,236.05916100000002,stop,-37.58677156126241,-0.3758677156126241,0.002782456359561274,0.0038889667784576714,0.24001619772056412,0.33546438779517057,11
ETHUSDT,1,1614617700,1539.7917989999999,1514.7922467606984,1672.49,1.140760239091655,1452.4604484931533,1614703800,1514.3378090866702,stop,-30.953115911432352,-0.3106989762588193,0.042251297248271716,0.02340043571046443,0.7449581464436378,0.41258721857478964,288
ETHUSDT,1,1624483200,1957.677127,1965.7130436170253,2277.0,1.1565540284648046,1871.8059971772955,1624485300,1941.487379,stop,-21.204595198613724,-0.21350934261787707,0.0,0.016216732862711667,0.0,0.36970664140028436,8
ETHUSDT,1,1624564500,2010.4629579999998,1973.3742151150068,2277.0,2.672038668999646,1973.3742151150068,1624575000,1972.7822028504725,stop,-106.53829664048871,-1.0750307744759953,0.0045845370904865086,0.020126189263517804,0.24851319519189322,1.0909767992263786,36
ETHUSDT,1,1624793400,1839.8217809999999,1837.8151462824997,2040.98,1.7211704052407852,1782.8621842579405,1624794900,1837.263801738615,stop,-7.883608187316275,-0.08041447962901217,0.004445114784734754,0.008056096059447551,0.14357929949952175,0.2602156940667974,6
ETHUSDT,-1,1627985700,2484.244503,2532.3460707077224,2316.03,0.8999786044719176,2593.089686250204,1628040900,2533.1057745289345,stop,-46.457628308838494,-0.4742590589692326,0.013675990007816037,0.022318856671734038,0.3121360264689176,0.5093978010266812,185
ETHUSDT,1,1641879300,3108.052136,3110.4889636558464,3294.84,1.0242714436737124,3012.8686175644534,1641880500,3109.5558169667497,stop,-1.9625075761626947,-0.020129571157628624,0.002377007745278139,0.0004833046339862329,0.07761705094987599,0.015781471673762325,5
ETHUSDT,-1,1642401600,3273.6776019999998,3294.520615543025,3181.2,1.6582222031573215,3332.459913912459,1642443000,3182.1543599999995,tp,145.87800984475842,1.49658173621875,0.028526817039938864,0.0075396544806125895,1.5887024338048523,0.4198949853615548,139
ETHUSDT,-1,1642656300,3112.915845,3144.1849701371807,3045.0,1.970122369280675,3163.1324794625225,1642659900,3145.1282256282216,stop,-70.24334357976174,-0.710009845316824,0.0003456068373091033,0.010261811301872871,0.021424076135623256,0.6361269595603939,13
ETHUSDT,1,1643151600,2436.620767,2418.4601885637594,2549.0,1.223005532561768,2356.301848717553,1643158200,2417.7346505071905,stop,-26.36312190225979,-0.26838025752083977,0.013731818037977036,0.008807594226664503,0.4165797263645717,0.2671944226705326,23
